# i, x, y, z, vx, vy, vz
0, 0, 0, 0, 2.2, -0.29, 0
1, 1, 0, 0, 2.21, -1.45, 0
2, 2, 0, 0, 2.19, -1.61, 0.01
3, 3, 0, 0, 2.14, -1.03, 0.01
4, 4, 0, 0, 2.08, -0.15, 0.01
5, 5, 0, 0, 2.02, 0.87, 0.01
6, 6, 0, 0, 1.91, 1.9, 0.02
7, 7, 0, 0, 1.77, 2.78, 0.02
8, 8, 0, 0, 1.62, 3.5, 0.02
9, 9, 0, 0, 1.49, 4.06, 0.01
10, 10, 0, 0, 1.41, 4.52, 0.01
11, 11, 0, 0, 1.37, 4.9, 0
12, 12, 0, 0, 1.38, 5.23, 0
13, 13, 0, 0, 1.4, 5.49, 0
14, 14, 0, 0, 1.42, 5.66, 0
15, 15, 0, 0, 1.43, 5.73, 0
16, 16, 0, 0, 1.43, 5.68, 0
17, 17, 0, 0, 1.41, 5.5, 0
18, 18, 0, 0, 1.4, 5.22, 0
19, 19, 0, 0, 1.41, 4.83, 0
20, 20, 0, 0, 1.44, 4.35, -0.01
21, 21, 0, 0, 1.51, 3.78, -0.01
22, 22, 0, 0, 1.61, 3.15, -0.01
23, 23, 0, 0, 1.75, 2.16, -0.02
24, 24, 0, 0, 1.81, -0.06, 0
25, 0, 1, 0, 3.01, -0.27, 0
26, 1, 1, 0, 3.02, -1.38, -0.01
27, 2, 1, 0, 2.98, -1.55, -0.01
28, 3, 1, 0, 2.93, -0.98, 0
29, 4, 1, 0, 2.82, -0.13, 0.01
30, 5, 1, 0, 2.63, 0.87, 0.03
31, 6, 1, 0, 2.37, 1.87, 0.03
32, 7, 1, 0, 2.1, 2.76, 0.03
33, 8, 1, 0, 1.85, 3.49, 0.02
34, 9, 1, 0, 1.66, 4.06, 0.02
35, 10, 1, 0, 1.53, 4.53, 0.01
36, 11, 1, 0, 1.45, 4.93, 0
37, 12, 1, 0, 1.42, 5.27, 0
38, 13, 1, 0, 1.4, 5.54, 0
39, 14, 1, 0, 1.38, 5.72, 0
40, 15, 1, 0, 1.35, 5.78, 0
41, 16, 1, 0, 1.31, 5.72, 0
42, 17, 1, 0, 1.27, 5.54, 0
43, 18, 1, 0, 1.23, 5.25, 0
44, 19, 1, 0, 1.21, 4.86, 0
45, 20, 1, 0, 1.21, 4.37, 0
46, 21, 1, 0, 1.25, 3.79, 0
47, 22, 1, 0, 1.31, 3.16, -0.01
48, 23, 1, 0, 1.39, 2.17, 0
49, 24, 1, 0, 1.41, -0.13, 0.02
50, 0, 2, 0, 3.72, -0.25, 0
51, 1, 2, 0, 3.72, -1.26, -0.01
52, 2, 2, 0, 3.67, -1.44, 0
53, 3, 2, 0, 3.61, -0.91, 0
54, 4, 2, 0, 3.49, -0.09, 0.01
55, 5, 2, 0, 3.29, 0.85, 0.03
56, 6, 2, 0, 2.99, 1.83, 0.04
57, 7, 2, 0, 2.63, 2.73, 0.04
58, 8, 2, 0, 2.27, 3.49, 0.03
59, 9, 2, 0, 1.98, 4.1, 0.02
60, 10, 2, 0, 1.76, 4.59, 0.01
61, 11, 2, 0, 1.61, 4.99, 0.01
62, 12, 2, 0, 1.5, 5.33, 0.01
63, 13, 2, 0, 1.39, 5.61, 0
64, 14, 2, 0, 1.29, 5.8, 0
65, 15, 2, 0, 1.18, 5.87, 0
66, 16, 2, 0, 1.08, 5.8, 0
67, 17, 2, 0, 0.98, 5.6, 0
68, 18, 2, 0, 0.89, 5.28, 0
69, 19, 2, 0, 0.82, 4.87, 0.01
70, 20, 2, 0, 0.79, 4.37, 0
71, 21, 2, 0, 0.79, 3.78, 0
72, 22, 2, 0, 0.81, 3.16, 0
73, 23, 2, 0, 0.85, 2.13, 0.01
74, 24, 2, 0, 0.85, -0.36, 0.03
75, 0, 3, 0, 4.29, -0.24, 0
76, 1, 3, 0, 4.29, -1.16, 0
77, 2, 3, 0, 4.25, -1.34, 0
78, 3, 3, 0, 4.19, -0.85, 0
79, 4, 3, 0, 4.08, -0.08, 0.02
80, 5, 3, 0, 3.9, 0.82, 0.03
81, 6, 3, 0, 3.63, 1.78, 0.04
82, 7, 3, 0, 3.26, 2.7, 0.05
83, 8, 3, 0, 2.84, 3.52, 0.04
84, 9, 3, 0, 2.44, 4.2, 0.03
85, 10, 3, 0, 2.11, 4.74, 0.01
86, 11, 3, 0, 1.84, 5.14, 0
87, 12, 3, 0, 1.62, 5.46, 0
88, 13, 3, 0, 1.39, 5.72, 0.01
89, 14, 3, 0, 1.16, 5.9, 0.01
90, 15, 3, 0, 0.93, 5.97, 0.01
91, 16, 3, 0, 0.72, 5.89, 0.01
92, 17, 3, 0, 0.55, 5.66, 0.01
93, 18, 3, 0, 0.4, 5.32, 0.01
94, 19, 3, 0, 0.28, 4.88, 0.01
95, 20, 3, 0, 0.2, 4.35, 0.01
