length,steps,threads,seconds,nanoseconds
50000,10,2,0,845100
50000,10,4,0,425520
50000,10,8,0,6440813
50000,10,16,0,1213036
50000,10,32,0,1739082
50000,20,2,0,554721
50000,20,4,0,447009
50000,20,8,0,4056489
50000,20,16,0,3540353
50000,20,32,0,2446684
50000,30,2,0,906225
50000,30,4,0,733711
50000,30,8,0,2465527
50000,30,16,0,4313282
50000,30,32,0,3193708
50000,40,2,0,1004214
50000,40,4,0,2991048
50000,40,8,0,2512678
50000,40,16,0,4708678
50000,40,32,0,4121345
50000,50,2,0,1204404
50000,50,4,0,1245358
50000,50,8,0,2549743
50000,50,16,0,5298392
50000,50,32,0,4976132
50000,60,2,0,1548688
50000,60,4,0,792990
50000,60,8,0,2983606
50000,60,16,0,6854833
50000,60,32,0,7060935
50000,70,2,0,2105488
50000,70,4,0,2215526
50000,70,8,0,3587884
50000,70,16,0,6742906
50000,70,32,0,7014211
50000,80,2,0,2248808
50000,80,4,0,2028086
50000,80,8,0,3318472
50000,80,16,0,7009712
50000,80,32,0,7939259
50000,90,2,0,2266307
50000,90,4,0,1117790
50000,90,8,0,9262737
50000,90,16,0,5832881
50000,90,32,0,9599877
50000,100,2,0,2350537
50000,100,4,0,1166377
50000,100,8,0,2555560
50000,100,16,0,9241210
50000,100,32,0,11265242
100000,10,2,0,679805
100000,10,4,0,507060
100000,10,8,0,2388638
100000,10,16,0,2963885
100000,10,32,0,1375033
100000,20,2,0,909808
100000,20,4,0,458655
100000,20,8,0,2348775
100000,20,16,0,3777715
100000,20,32,0,2877999
100000,30,2,0,3114209
100000,30,4,0,1385978
100000,30,8,0,2684569
100000,30,16,0,4600377
100000,30,32,0,3897776
100000,40,2,0,2020828
100000,40,4,0,2681065
100000,40,8,0,2974657
100000,40,16,0,5920082
100000,40,32,0,5615995
100000,50,2,0,2803942
100000,50,4,0,2615102
100000,50,8,0,4339549
100000,50,16,0,6790087
100000,50,32,0,8392299
100000,60,2,0,4863991
100000,60,4,0,2539778
100000,60,8,0,2886626
100000,60,16,0,7659581
100000,60,32,0,8200941
100000,70,2,0,5846659
100000,70,4,0,2972764
100000,70,8,0,5431543
100000,70,16,0,6441870
100000,70,32,0,9483751
100000,80,2,0,3753829
100000,80,4,0,1854488
100000,80,8,0,3304698
100000,80,16,0,8776893
100000,80,32,0,11533159
100000,90,2,0,9016323
100000,90,4,0,3843943
100000,90,8,0,5765487
100000,90,16,0,9479520
100000,90,32,0,11592103
100000,100,2,0,4474912
100000,100,4,0,2224034
100000,100,8,0,4100191
100000,100,16,0,11277806
100000,100,32,0,14798655
150000,10,2,0,741751
150000,10,4,0,651142
150000,10,8,0,2313438
150000,10,16,0,3338687
150000,10,32,0,2000332
150000,20,2,0,1482648
150000,20,4,0,1341692
150000,20,8,0,2642117
150000,20,16,0,5244838
150000,20,32,0,4195925
150000,30,2,0,2784982
150000,30,4,0,1385272
150000,30,8,0,5938835
150000,30,16,0,4057868
150000,30,32,0,5924694
150000,40,2,0,3840412
150000,40,4,0,1900662
150000,40,8,0,3677995
150000,40,16,0,7191996
150000,40,32,0,8249630
150000,50,2,0,7355198
150000,50,4,0,3245204
150000,50,8,0,5942947
150000,50,16,0,7548797
150000,50,32,0,9051927
150000,60,2,0,4825634
150000,60,4,0,2435224
150000,60,8,0,4104966
150000,60,16,0,9886142
150000,60,32,0,11930779
150000,70,2,0,8728273
150000,70,4,0,4498531
150000,70,8,0,4199061
150000,70,16,0,11029744
