length,steps,threads,seconds,nanoseconds
50000,10,2,0,432041
50000,10,4,0,173573
50000,10,8,0,141328
50000,10,16,0,166931
50000,10,32,0,856337
50000,20,2,0,584038
50000,20,4,0,282436
50000,20,8,0,193411
50000,20,16,0,198085
50000,20,32,0,1447349
50000,30,2,0,780340
50000,30,4,0,396989
50000,30,8,0,272478
50000,30,16,0,293555
50000,30,32,0,2185114
50000,40,2,0,1108628
50000,40,4,0,515678
50000,40,8,0,360499
50000,40,16,0,365711
50000,40,32,0,2683549
50000,50,2,0,1393863
50000,50,4,0,641582
50000,50,8,0,438639
50000,50,16,0,443824
50000,50,32,0,3237515
50000,60,2,0,1474668
50000,60,4,0,774233
50000,60,8,0,531586
50000,60,16,0,517242
50000,60,32,0,3902139
50000,70,2,0,1683121
50000,70,4,0,896245
50000,70,8,0,602540
50000,70,16,0,635162
50000,70,32,0,4497124
50000,80,2,0,1989908
50000,80,4,0,1014649
50000,80,8,0,693665
50000,80,16,0,671115
50000,80,32,0,5103302
50000,90,2,0,2345453
50000,90,4,0,1123397
50000,90,8,0,798472
50000,90,16,0,713650
50000,90,32,0,5776021
50000,100,2,0,2391814
50000,100,4,0,1252743
50000,100,8,0,865551
50000,100,16,0,826642
50000,100,32,0,6564768
100000,10,2,0,560901
100000,10,4,0,271214
100000,10,8,0,176149
100000,10,16,0,161609
100000,10,32,0,806651
100000,20,2,0,966616
100000,20,4,0,508196
100000,20,8,0,300226
100000,20,16,0,251288
100000,20,32,0,1521655
100000,30,2,0,1654397
100000,30,4,0,733256
100000,30,8,0,437146
100000,30,16,0,354295
100000,30,32,0,2133909
100000,40,2,0,1862392
100000,40,4,0,972584
100000,40,8,0,567095
100000,40,16,0,459954
100000,40,32,0,3201737
100000,50,2,0,2342464
100000,50,4,0,1214409
100000,50,8,0,714066
100000,50,16,0,564587
100000,50,32,0,3454526
100000,60,2,0,2757410
100000,60,4,0,1428927
100000,60,8,0,825935
100000,60,16,0,622063
100000,60,32,0,4083694
100000,70,2,0,3386203
100000,70,4,0,1651047
100000,70,8,0,952843
100000,70,16,0,751178
100000,70,32,0,4631560
100000,80,2,0,3814660
100000,80,4,0,1895319
100000,80,8,0,1108538
100000,80,16,0,887664
100000,80,32,0,5342784
100000,90,2,0,4052325
100000,90,4,0,2142517
100000,90,8,0,1262417
100000,90,16,0,923585
100000,90,32,0,6061296
100000,100,2,0,4625584
100000,100,4,0,2380048
100000,100,8,0,1337453
100000,100,16,0,1058084
100000,100,32,0,6528941
150000,10,2,0,987198
150000,10,4,0,409107
150000,10,8,0,243176
150000,10,16,0,194240
150000,10,32,0,930881
150000,20,2,0,1544777
150000,20,4,0,769649
150000,20,8,0,445944
150000,20,16,0,308522
150000,20,32,0,1504269
150000,30,2,0,2255653
150000,30,4,0,1129383
150000,30,8,0,630037
150000,30,16,0,430498
150000,30,32,0,2179707
150000,40,2,0,3024904
150000,40,4,0,1501724
150000,40,8,0,834269
150000,40,16,0,554632
150000,40,32,0,2913057
150000,50,2,0,3458801
150000,50,4,0,1904758
150000,50,8,0,1018461
150000,50,16,0,697851
150000,50,32,0,3514481
150000,60,2,0,4092130
150000,60,4,0,2238042
150000,60,8,0,1218519
150000,60,16,0,856260
150000,60,32,0,4320697
150000,70,2,0,4903145
150000,70,4,0,2808128
150000,70,8,0,1422621
150000,70,16,0,952119
150000,70,32,0,4923565
150000,80,2,0,5535823
150000,80,4,0,3017221
150000,80,8,0,1617644
150000,80,16,0,1148152
150000,80,32,0,5830249
150000,90,2,0,6238183
150000,90,4,0,3437051
150000,90,8,0,1834885
150000,90,16,0,1280433
150000,90,32,0,6221617
150000,100,2,0,6928574
150000,100,4,0,3986514
150000,100,8,0,2014147
