length,steps,threads,seconds,nanoseconds
10000,10,2,0,446288
10000,10,4,0,448148
10000,10,8,0,3142944
10000,10,16,0,1696239
10000,10,32,0,2752438
10000,20,2,0,905492
10000,20,4,0,388351
10000,20,8,0,8001705
10000,20,16,0,2684844
10000,20,32,0,1944630
10000,30,2,0,446080
10000,30,4,0,475666
10000,30,8,0,4187935
10000,30,16,0,3665470
10000,30,32,0,2969583
10000,40,2,0,1079247
10000,40,4,0,561318
10000,40,8,0,3642521
10000,40,16,0,4635650
10000,40,32,0,4198968
10000,50,2,0,707666
10000,50,4,0,2065187
10000,50,8,0,4321991
10000,50,16,0,5375402
10000,50,32,0,5272601
10000,60,2,0,2820720
10000,60,4,0,929452
10000,60,8,0,3250114
10000,60,16,0,4597038
10000,60,32,0,6236678
10000,70,2,0,1047953
10000,70,4,0,1145263
10000,70,8,0,3723246
10000,70,16,0,6523110
10000,70,32,0,7018309
10000,80,2,0,1381035
10000,80,4,0,1649506
10000,80,8,0,3633621
10000,80,16,0,6876904
10000,80,32,0,8072264
10000,90,2,0,1419947
10000,90,4,0,1451381
10000,90,8,0,9979129
10000,90,16,0,7332938
10000,90,32,0,9054669
10000,100,2,0,1295570
10000,100,4,0,1547347
10000,100,8,0,9897288
10000,100,16,0,8025452
10000,100,32,0,11113323
20000,10,2,0,450704
20000,10,4,0,361052
20000,10,8,0,4993998
20000,10,16,0,2811214
20000,10,32,0,1504079
20000,20,2,0,558338
20000,20,4,0,476241
20000,20,8,0,4519194
20000,20,16,0,3776846
20000,20,32,0,2872402
20000,30,2,0,750577
20000,30,4,0,735352
20000,30,8,0,5859867
20000,30,16,0,4757398
20000,30,32,0,4179898
20000,40,2,0,974603
20000,40,4,0,2848184
20000,40,8,0,14230055
20000,40,16,0,3974492
20000,40,32,0,5613137
20000,50,2,0,1527801
20000,50,4,0,1267788
20000,50,8,0,4093673
20000,50,16,0,7009820
20000,50,32,0,6880142
20000,60,2,0,1424344
20000,60,4,0,1435857
20000,60,8,0,4992781
20000,60,16,0,7583618
20000,60,32,0,8779344
20000,70,2,0,1945329
20000,70,4,0,1958643
20000,70,8,0,4592081
20000,70,16,0,9508758
20000,70,32,0,9631297
20000,80,2,0,2960851
20000,80,4,0,2404114
20000,80,8,0,3149781
20000,80,16,0,9719721
20000,80,32,0,10949406
20000,90,2,0,4728613
20000,90,4,0,2664044
20000,90,8,0,3663765
20000,90,16,0,12279524
20000,90,32,0,14088519
20000,100,2,0,5068787
20000,100,4,0,3263663
20000,100,8,0,3567068
20000,100,16,0,11746497
20000,100,32,0,15953656
30000,10,2,0,677602
30000,10,4,0,479128
30000,10,8,0,7451668
30000,10,16,0,3284385
30000,10,32,0,1945223
30000,20,2,0,2345431
30000,20,4,0,2102333
30000,20,8,0,4403077
30000,20,16,0,4854301
30000,20,32,0,3637619
30000,30,2,0,2768409
30000,30,4,0,986511
30000,30,8,0,3498419
30000,30,16,0,4485357
30000,30,32,0,6323574
30000,40,2,0,1653409
30000,40,4,0,1693798
30000,40,8,0,4502059
30000,40,16,0,8799436
30000,40,32,0,8950809
30000,50,2,0,4571616
30000,50,4,0,2414971
30000,50,8,0,3449346
30000,50,16,0,9599611
30000,50,32,0,10831956
30000,60,2,0,5371264
30000,60,4,0,2346478
30000,60,8,0,4215748
30000,60,16,0,9579798
30000,60,32,0,11050424
30000,70,2,0,3818867
30000,70,4,0,2337929
30000,70,8,0,4861496
30000,70,16,0,11053962
30000,70,32,0,13621471
30000,80,2,0,5638218
30000,80,4,0,3918400
30000,80,8,0,5114831
30000,80,16,0,13486200
30000,80,32,0,17528301
30000,90,2,0,4490831
30000,90,4,0,4814506
30000,90,8,0,8152961
30000,90,16,0,13592791
30000,90,32,0,16304426
30000,100,2,0,5666317
30000,100,4,0,4355573
30000,100,8,0,6171692
30000,100,16,0,15933987
30000,100,32,0,18584911
40000,10,2,0,2130380
40000,10,4,0,433874
40000,10,8,0,4011812
40000,10,16,0,4222417
40000,10,32,0,2690554
40000,20,2,0,1074853
40000,20,4,0,917148
40000,20,8,0,3371128
40000,20,16,0,5547189
40000,20,32,0,5253748
40000,30,2,0,2298767
