length,steps,threads,seconds,nanoseconds
10000,10,2,0,335238
10000,10,4,0,501856
10000,10,8,0,1232985
10000,10,16,0,1335749
10000,10,32,0,1077911
10000,20,2,0,531022
10000,20,4,0,911247
10000,20,8,0,2919506
10000,20,16,0,2517531
10000,20,32,0,1858996
10000,30,2,0,680342
10000,30,4,0,1430490
10000,30,8,0,4218583
10000,30,16,0,3753120
10000,30,32,0,2716420
10000,40,2,0,601502
10000,40,4,0,1676498
10000,40,8,0,5386335
10000,40,16,0,5107713
10000,40,32,0,3640554
10000,50,2,0,730220
10000,50,4,0,2084187
10000,50,8,0,6767279
10000,50,16,0,6354076
10000,50,32,0,4261521
10000,60,2,0,871993
10000,60,4,0,2422977
10000,60,8,0,7825868
10000,60,16,0,8103982
10000,60,32,0,5055437
10000,70,2,0,1021212
10000,70,4,0,3018938
10000,70,8,0,10760572
10000,70,16,0,8856981
10000,70,32,0,5830919
10000,80,2,0,1194221
10000,80,4,0,3333569
10000,80,8,0,10603808
10000,80,16,0,10345342
10000,80,32,0,6975311
10000,90,2,0,1285873
10000,90,4,0,4042626
10000,90,8,0,12540272
10000,90,16,0,11361158
10000,90,32,0,7713323
10000,100,2,0,1566545
10000,100,4,0,4110471
10000,100,8,0,13289205
10000,100,16,0,12892374
10000,100,32,0,8371377
20000,10,2,0,332104
20000,10,4,0,777061
20000,10,8,0,2282401
20000,10,16,0,1867648
20000,10,32,0,1231331
20000,20,2,0,759312
20000,20,4,0,1009367
20000,20,8,0,3821668
20000,20,16,0,3845469
20000,20,32,0,2322527
20000,30,2,0,994680
20000,30,4,0,1572984
20000,30,8,0,6437699
20000,30,16,0,5918853
20000,30,32,0,3340025
20000,40,2,0,1208645
20000,40,4,0,2291434
20000,40,8,0,8417538
20000,40,16,0,8131062
20000,40,32,0,4500955
20000,50,2,0,1470989
20000,50,4,0,3037867
20000,50,8,0,10493749
20000,50,16,0,9709272
20000,50,32,0,5383534
20000,60,2,0,1783596
20000,60,4,0,3353138
20000,60,8,0,11799446
20000,60,16,0,11876378
20000,60,32,0,6697741
20000,70,2,0,2108408
20000,70,4,0,3761042
20000,70,8,0,14302252
20000,70,16,0,13851854
20000,70,32,0,7748564
20000,80,2,0,2340868
20000,80,4,0,4604058
20000,80,8,0,16566087
20000,80,16,0,15321611
20000,80,32,0,8365013
20000,90,2,0,2799140
20000,90,4,0,5238151
20000,90,8,0,18610204
20000,90,16,0,17731730
20000,90,32,0,9463796
20000,100,2,0,3026699
20000,100,4,0,5652180
20000,100,8,0,21538842
20000,100,16,0,19484619
20000,100,32,0,10677479
30000,10,2,0,444654
30000,10,4,0,669880
30000,10,8,0,2865708
30000,10,16,0,2507902
30000,10,32,0,1627330
30000,20,2,0,893817
30000,20,4,0,1233490
30000,20,8,0,4342331
30000,20,16,0,5239634
30000,20,32,0,2829957
30000,30,2,0,1287620
30000,30,4,0,2129790
30000,30,8,0,7943954
30000,30,16,0,7548877
30000,30,32,0,4086392
30000,40,2,0,1602293
30000,40,4,0,2873608
30000,40,8,0,9552220
30000,40,16,0,10009829
30000,40,32,0,5078175
30000,50,2,0,2091743
30000,50,4,0,3301321
30000,50,8,0,11855234
30000,50,16,0,12838346
30000,50,32,0,6506766
30000,60,2,0,2430664
30000,60,4,0,3978078
30000,60,8,0,15084261
30000,60,16,0,14923273
30000,60,32,0,7985973
30000,70,2,0,2910556
30000,70,4,0,4679778
30000,70,8,0,17464139
30000,70,16,0,17798316
30000,70,32,0,9150575
30000,80,2,0,3307190
30000,80,4,0,5000570
30000,80,8,0,19741023
30000,80,16,0,20503471
30000,80,32,0,10390189
30000,90,2,0,3806861
30000,90,4,0,6007237
30000,90,8,0,21131021
30000,90,16,0,22560617
30000,90,32,0,11764940
30000,100,2,0,4010367
30000,100,4,0,6621156
30000,100,8,0,23865633
30000,100,16,0,25386128
30000,100,32,0,13199936
40000,10,2,0,584351
40000,10,4,0,788693
40000,10,8,0,2228032
40000,10,16,0,3402457
40000,10,32,0,1875137
40000,20,2,0,1212041
40000,20,4,0,1559747
40000,20,8,0,5574127
40000,20,16,0,6163782
40000,20,32,0,3290056
40000,30,2,0,1784424
40000,30,4,0,2387732
40000,30,8,0,6949724
40000,30,16,0,9436157
40000,30,32,0,5053774
40000,40,2,0,2177433
40000,40,4,0,3293765
40000,40,8,0,10185662
40000,40,16,0,13007952
40000,40,32,0,6917746
40000,50,2,0,2790525
40000,50,4,0,4166122
40000,50,8,0,14315916
40000,50,16,0,16442204
40000,50,32,0,8066203
40000,60,2,0,3377436
40000,60,4,0,5009106
40000,60,8,0,15460060
40000,60,16,0,19002647
40000,60,32,0,9632055
40000,70,2,0,3960517
40000,70,4,0,5353576
40000,70,8,0,19247721
40000,70,16,0,21494140
40000,70,32,0,12704526
40000,80,2,0,4385080
40000,80,4,0,6330900
40000,80,8,0,24359216
40000,80,16,0,24908914
40000,80,32,0,13513060
40000,90,2,0,4792780
40000,90,4,0,7265692
40000,90,8,0,26201567
40000,90,16,0,28273506
40000,90,32,0,14864967
40000,100,2,0,5255574
40000,100,4,0,8007684
40000,100,8,0,28418651
40000,100,16,0,30665987
40000,100,32,0,17538658
50000,10,2,0,713441
50000,10,4,0,913627
50000,10,8,0,2684519
50000,10,16,0,3649850
50000,10,32,0,2231511
50000,20,2,0,1396083
50000,20,4,0,1754663
50000,20,8,0,5884351
50000,20,16,0,7445158
50000,20,32,0,4335750
50000,30,2,0,1926019
50000,30,4,0,2691091
50000,30,8,0,8920047
50000,30,16,0,10730994
50000,30,32,0,6207647
50000,40,2,0,2519063
50000,40,4,0,3477132
50000,40,8,0,12510030
50000,40,16,0,14367331
50000,40,32,0,8506825
50000,50,2,0,3136744
50000,50,4,0,4427079
50000,50,8,0,14754403
50000,50,16,0,18846184
50000,50,32,0,10770262
50000,60,2,0,3956674
50000,60,4,0,5370925
50000,60,8,0,17889680
50000,60,16,0,21660463
50000,60,32,0,11892002
50000,70,2,0,4354159
50000,70,4,0,6824486
50000,70,8,0,21943468
50000,70,16,0,24405595
50000,70,32,0,13842181
50000,80,2,0,5032620
50000,80,4,0,7978263
50000,80,8,0,25345086
50000,80,16,0,28093976
50000,80,32,0,15979218
50000,90,2,0,5702168
50000,90,4,0,8160201
50000,90,8,0,27597881
50000,90,16,0,32183791
50000,90,32,0,18457034
50000,100,2,0,6324942
50000,100,4,0,9129299
50000,100,8,0,29728390
50000,100,16,0,36871174
50000,100,32,0,19192867
60000,10,2,0,952896
60000,10,4,0,1110656
60000,10,8,0,2611369
60000,10,16,0,3881818
60000,10,32,0,2311297
60000,20,2,0,1662988
60000,20,4,0,2082939
60000,20,8,0,6265995
60000,20,16,0,8391940
60000,20,32,0,4279611
60000,30,2,0,2251558
60000,30,4,0,3154911
60000,30,8,0,10256790
