length,steps,seconds,nanoseconds
10000,10,0,281392
10000,20,0,154284
10000,30,0,201170
10000,40,0,287149
10000,50,0,325252
10000,60,0,389915
10000,70,0,461351
10000,80,0,526326
10000,90,0,670305
10000,100,0,650696
20000,10,0,157547
20000,20,0,325107
20000,30,0,486236
20000,40,0,669164
20000,50,0,713164
20000,60,0,858823
20000,70,0,987418
20000,80,0,1299654
20000,90,0,1287582
20000,100,0,1670295
30000,10,0,230524
30000,20,0,521968
30000,30,0,684090
30000,40,0,1011902
30000,50,0,1138851
30000,60,0,1517741
30000,70,0,1602166
30000,80,0,1892819
30000,90,0,2048743
30000,100,0,2292622
40000,10,0,327322
40000,20,0,729422
40000,30,0,929637
40000,40,0,1403534
40000,50,0,1638289
40000,60,0,1901744
40000,70,0,2706798
40000,80,0,3021586
40000,90,0,3049140
40000,100,0,3377086
50000,10,0,443400
50000,20,0,855221
50000,30,0,1238901
50000,40,0,1839473
50000,50,0,1928857
50000,60,0,2327945
50000,70,0,3172328
50000,80,0,3523623
50000,90,0,3479009
50000,100,0,4513950
60000,10,0,547364
60000,20,0,1053043
60000,30,0,1699576
60000,40,0,2474132
60000,50,0,2461097
60000,60,0,2811597
60000,70,0,3220364
60000,80,0,4065934
60000,90,0,4617013
60000,100,0,4634470
70000,10,0,730534
70000,20,0,1076874
70000,30,0,1722996
70000,40,0,2902446
70000,50,0,2812722
70000,60,0,3257401
70000,70,0,4386660
70000,80,0,4477477
70000,90,0,6206191
70000,100,0,8075984
80000,10,0,762708
80000,20,0,1467258
80000,30,0,2194977
80000,40,0,3173453
80000,50,0,4110679
80000,60,0,4104829
80000,70,0,4625813
80000,80,0,5884626
80000,90,0,7249676
80000,100,0,6622222
90000,10,0,865864
90000,20,0,1381311
90000,30,0,2284276
90000,40,0,3731395
90000,50,0,4283516
90000,60,0,4705709
90000,70,0,4867301
90000,80,0,7376438
90000,90,0,7101508
90000,100,0,10592465
100000,10,0,917703
100000,20,0,2201748
100000,30,0,2760663
100000,40,0,3098581
100000,50,0,5909347
100000,60,0,6418777
100000,70,0,5586631
100000,80,0,9426944
100000,90,0,7450306
100000,100,0,8253833
