length,steps,seconds,nanoseconds
10000,10,0,65780
10000,20,0,128962
10000,30,0,193194
10000,40,0,257482
10000,50,0,321771
10000,60,0,396340
10000,70,0,458304
10000,80,0,524501
10000,90,0,588524
10000,100,0,642971
20000,10,0,147352
20000,20,0,292765
20000,30,0,437514
20000,40,0,582598
20000,50,0,740666
20000,60,0,873016
20000,70,0,1086912
20000,80,0,1229641
20000,90,0,1365351
20000,100,0,1542106
30000,10,0,231616
30000,20,0,450234
30000,30,0,707415
30000,40,0,920777
30000,50,0,1196547
30000,60,0,1408007
30000,70,0,1716212
30000,80,0,1930596
30000,90,0,2178783
30000,100,0,2488787
40000,10,0,324845
40000,20,0,628129
40000,30,0,972303
40000,40,0,1278139
40000,50,0,1656814
40000,60,0,1991294
40000,70,0,2283574
40000,80,0,2646636
40000,90,0,2935411
40000,100,0,3352971
50000,10,0,393028
50000,20,0,784298
50000,30,0,1198474
50000,40,0,1602560
50000,50,0,1967641
50000,60,0,2378827
50000,70,0,2726578
50000,80,0,3227682
50000,90,0,3638751
50000,100,0,3913873
60000,10,0,500108
60000,20,0,976385
60000,30,0,1383527
60000,40,0,1988330
60000,50,0,2494804
60000,60,0,2974416
60000,70,0,3486103
60000,80,0,3944446
60000,90,0,4358104
60000,100,0,4993795
70000,10,0,575209
70000,20,0,1077301
70000,30,0,1679393
70000,40,0,2256589
70000,50,0,2759708
70000,60,0,3300793
70000,70,0,3977092
70000,80,0,4535205
70000,90,0,4952252
70000,100,0,5492652
80000,10,0,607710
80000,20,0,1293092
80000,30,0,1916650
80000,40,0,2593905
80000,50,0,3149976
80000,60,0,3831714
80000,70,0,4579784
80000,80,0,5179209
80000,90,0,5780120
80000,100,0,6329441
90000,10,0,708875
90000,20,0,1403413
90000,30,0,2138423
90000,40,0,2939621
90000,50,0,3632489
90000,60,0,4383215
90000,70,0,5127608
90000,80,0,5706727
90000,90,0,6574453
90000,100,0,7333353
100000,10,0,819714
100000,20,0,1612606
100000,30,0,2413620
100000,40,0,3256576
100000,50,0,3956044
100000,60,0,4688878
100000,70,0,5696981
100000,80,0,6500754
100000,90,0,7320809
100000,100,0,8227452
