length,steps,seconds,nanoseconds
50000,10,0,1052567
50000,20,0,1893724
50000,30,0,1353065
50000,40,0,1702936
50000,50,0,2072475
50000,60,0,2434940
50000,70,0,3342058
50000,80,0,3065383
50000,90,0,3614298
50000,100,0,4656938
100000,10,0,943453
100000,20,0,1559594
100000,30,0,2465412
100000,40,0,3195072
100000,50,0,4046676
100000,60,0,5144490
100000,70,0,5959149
100000,80,0,6743418
100000,90,0,8805473
100000,100,0,7733127
150000,10,0,1318811
150000,20,0,2888871
150000,30,0,4664152
150000,40,0,5577684
150000,50,0,7200876
150000,60,0,8359529
150000,70,0,10086103
150000,80,0,11134908
150000,90,0,11745045
150000,100,0,15366187
200000,10,0,2216113
200000,20,0,3972667
200000,30,0,4760458
200000,40,0,7584783
200000,50,0,8767512
200000,60,0,9339934
200000,70,0,12962116
200000,80,0,14352252
200000,90,0,17450124
200000,100,0,16106150
250000,10,0,2238812
250000,20,0,4676695
250000,30,0,6139336
250000,40,0,9410248
250000,50,0,10773043
250000,60,0,14648978
250000,70,0,16218747
250000,80,0,15982398
250000,90,0,18039639
250000,100,0,20154094
300000,10,0,2713948
300000,20,0,6937574
300000,30,0,8567366
300000,40,0,12584190
300000,50,0,12523983
300000,60,0,16226089
300000,70,0,18710202
300000,80,0,24134648
300000,90,0,26568593
300000,100,0,24619150
350000,10,0,3971460
350000,20,0,7204543
350000,30,0,9796632
350000,40,0,12155935
350000,50,0,15243511
350000,60,0,18845111
350000,70,0,26741561
350000,80,0,24144208
350000,90,0,28279691
350000,100,0,30881413
400000,10,0,3852700
400000,20,0,8577329
400000,30,0,12318853
400000,40,0,14712056
400000,50,0,19739684
400000,60,0,23955234
400000,70,0,27557977
400000,80,0,33398960
400000,90,0,34038379
400000,100,0,35759501
450000,10,0,5761529
450000,20,0,8820585
450000,30,0,12738790
450000,40,0,18592247
450000,50,0,24036265
450000,60,0,29068549
450000,70,0,30559789
450000,80,0,33182535
450000,90,0,43365615
450000,100,0,42794522
500000,10,0,7807033
500000,20,0,10061733
500000,30,0,16712921
500000,40,0,21553502
500000,50,0,25071021
500000,60,0,35131626
500000,70,0,35453851
500000,80,0,40122623
500000,90,0,44695598
500000,100,0,53874106
