length,steps,seconds,nanoseconds
50000,10,0,385994
50000,20,0,794868
50000,30,0,1187880
50000,40,0,1613776
50000,50,0,2029602
50000,60,0,2438708
50000,70,0,2774593
50000,80,0,3178576
50000,90,0,3563306
50000,100,0,3947646
100000,10,0,777433
100000,20,0,1592917
100000,30,0,2445547
100000,40,0,3238235
100000,50,0,4130831
100000,60,0,4942519
100000,70,0,5738700
100000,80,0,6565702
100000,90,0,7144160
100000,100,0,8141154
150000,10,0,1363006
150000,20,0,2834778
150000,30,0,4133022
150000,40,0,5626659
150000,50,0,6891709
150000,60,0,8219042
150000,70,0,9736816
150000,80,0,11151825
150000,90,0,12708798
150000,100,0,14009586
200000,10,0,1654436
200000,20,0,3264487
200000,30,0,4891229
200000,40,0,6382334
200000,50,0,8131143
200000,60,0,9803827
200000,70,0,11123541
200000,80,0,13044893
200000,90,0,14855276
200000,100,0,15939674
250000,10,0,2033166
250000,20,0,4097068
250000,30,0,6189932
250000,40,0,8112437
250000,50,0,10108061
250000,60,0,12172535
250000,70,0,13880856
250000,80,0,16268318
250000,90,0,18281790
250000,100,0,20349767
300000,10,0,2556693
300000,20,0,5203397
300000,30,0,7932720
300000,40,0,10478683
300000,50,0,13233185
300000,60,0,15327082
300000,70,0,21131707
300000,80,0,20917557
300000,90,0,23668655
300000,100,0,26182418
350000,10,0,2772451
350000,20,0,5877021
350000,30,0,8808800
350000,40,0,11720434
350000,50,0,14552750
350000,60,0,17681592
350000,70,0,20397193
350000,80,0,22832927
350000,90,0,25593660
350000,100,0,29154659
400000,10,0,3247475
400000,20,0,6653188
400000,30,0,9904799
400000,40,0,12891702
400000,50,0,16634801
400000,60,0,19345931
400000,70,0,23095999
400000,80,0,26394484
400000,90,0,29765077
400000,100,0,33162774
450000,10,0,3839768
450000,20,0,7704402
450000,30,0,11634568
450000,40,0,15430360
450000,50,0,18716505
450000,60,0,22440798
450000,70,0,26915703
450000,80,0,29918695
450000,90,0,33785671
450000,100,0,38866250
500000,10,0,4012528
500000,20,0,8090058
500000,30,0,12190750
500000,40,0,16684180
500000,50,0,20366957
500000,60,0,24418869
500000,70,0,29188073
500000,80,0,33388143
500000,90,0,37607071
500000,100,0,42181111
